strategy,train_return_pct,test_return_pct,benchmark_return_pct,edge_pct,test_max_drawdown_pct,test_sharpe,test_trades,test_score
mean-reversion-60-t4,-16.3861,-1.8207,41.7035,-43.5242,-14.1296,-0.0231,98,-13.0112
ensemble-3-10-c65,16.0915,-1.2749,41.7035,-42.9784,-12.8720,-0.0347,252,-14.7110
ensemble-3-10-c60,11.4688,-1.7884,41.7035,-43.4919,-13.5505,-0.0639,296,-15.7240
ma-8-21,-24.3685,-5.1590,41.7035,-46.8625,-14.0701,-0.3032,110,-17.1110
momentum-10-t3,-7.9262,-3.7161,41.7035,-45.4196,-17.3202,-0.1312,117,-17.5766
ensemble-3-10-c70,-6.1729,-4.7035,41.7035,-46.4070,-16.8494,-0.1649,158,-19.1454
ma-3-10,9.4213,-6.0710,41.7035,-47.7745,-13.5916,-0.2260,247,-20.2976
mean-reversion-20-t4,25.3675,-8.3990,41.7035,-50.1025,-16.5134,-0.3175,100,-21.7678
mean-reversion-20-t6,-14.9670,-11.8016,41.7035,-53.5051,-16.8480,-0.4811,58,-24.8750
mean-reversion-60-t6,-16.4734,-13.3520,41.7035,-55.0556,-17.4382,-0.5095,52,-26.7459
momentum-120-t8,-17.2144,-14.1109,41.7035,-55.8145,-19.2091,-0.5382,21,-28.0933
ma-5-15,-16.6297,-13.9515,41.7035,-55.6550,-18.1953,-0.7091,124,-29.6767
